33,0.99,3.69,196.7415093,2213.07,14.96,1.02,0.79,3,1024.07,92,58.536,73.17,49.6833,30.8,0.86,41.76,48.96,-0.37,11.98666667,463.26
35,1.81,3.5,168.130996,2149.04,25.18,1.04,0.68,2,1020.04,101,17.724,59.08,50.1722,29.8,0.98,62.96,78.76,0.38,19.39333333,444.37
33,0.97,3.5,196.6457716,2232.16,5.11,1.24,0.83,2,1012.16,93,73.712,92.14,50.0431,30,1.07,39.4,49.1,0.11,10.70333333,488.56
33,0.88,3.88,175.3214224,2219.24,20.86,1.42,0.99,2,1010.24,100,22.992,76.64,49.9329,27,1.2,57.32,72.42,0.44,15.95333333,446.48
33,1.99,3.58,187.9427045,2198.23,10.82,1.34,0.81,2,1009.23,101,19.324,96.62,50.1542,31.4,1.28,37.5,52.8,0.54,14.60666667,473.9
34,1.26,3.49,175.8196098,2109.23,26.27,0.97,0.68,2,1012.23,99,29.385,58.77,49.4873,28.8,0.86,59.44,69.74,-0.31,16.75666667,443.67
25,1.02,5.07,181.1239029,2340.02,15.89,1.17,3.82,4,1014.02,107,67.716,75.24,50.3482,30.1,1.28,43.96,53.96,-0.24,16.29666667,467.35
27,1.11,4.28,190.3327293,2299.12,9.48,1.06,1.46,3,1019.12,98,99.645,66.43,50.0564,33.7,1.28,44.71,57.91,0.34,14.16,478.42
28,0.98,4.27,184.0152089,2230.78,14.64,1.15,1.43,3,1021.78,103,28.875,41.25,50.2593,29.4,1.25,45,58.9,0.1,16.88,475.98
36,2.04,3.03,181.9254219,2000.14,11.74,0.94,0.49,2,1015.14,100,35.36,70.72,49.9344,29.2,0.99,43.56,60.26,0.49,16.91333333,477.5
30,1.75,3.71,184.1408046,2221.64,17.99,0.91,0.96,4,1008.64,106,67.536,75.04,50.1334,29,1.13,43.72,55.12,0.02,16.99666667,453.02
31,3.1,3.53,189.4232123,2143.66,20.14,1.3,0.85,2,1014.66,99,19.266,64.22,50.1859,31,1.09,46.93,57.13,0.15,16.71333333,453.99
32,0.89,3.61,174.0140657,2149.31,24.34,1.14,0.86,2,1011.31,92,67.32,84.15,49.8571,28.7,1.06,73.5,89.7,0.2,18.11333333,440.29
29,1.24,4.41,178.0989477,2254.77,25.71,1.37,2.11,3,1012.77,101,86.562,61.83,49.9717,34.7,2.05,58.59,70.59,0.12,19.57,451.28
27,0.7,4.84,172.1984689,2319.48,26.19,1.34,2.05,3,1009.48,101,105.108,87.59,50.0345,35,1.35,69.34,82.64,0.21,20.73,433.99
32,1.97,3.43,184.5514923,2111.76,21.42,0.93,0.84,3,1015.76,103,8.616,43.08,49.8743,26.9,1.09,43.79,57.39,0.26,17.14,462.19
29,0.94,4.05,186.817471,2173.86,18.21,0.91,1.1,3,1022.86,101,24.42,48.84,49.5799,31.5,0.92,45,56.9,-0.16,14.07,467.54
34,2.37,3.56,191.5450248,2118.6,11.04,1.06,0.65,3,1022.6,95,15.502,77.51,49.8182,28.9,1.47,41.74,54.24,0.06,12.68,477.2
33,2.39,3.6,181.426148,2193.97,14.45,0.97,0.76,3,1023.97,103,19.077,63.59,50.1012,31.1,1,52.75,60.15,-0.43,12.81666667,459.85
29,0.88,4.1,189.8767478,2152.15,13.97,1.08,1.03,2,1015.15,94,38.696,55.28,50.0386,27.8,1.12,38.47,61.17,0.66,16.65666667,464.3
35,1.26,2.99,187.6188086,2177.09,17.76,1.06,0.5,3,1009.09,99,6.626,66.26,49.6858,23.7,0.8,42.42,46.52,-0.67,12.92,468.27
29,1.72,4.19,191.6816345,2242.16,5.41,1.22,1.19,3,1019.16,101,58.293,64.77,49.8856,30.7,1.17,40.07,45.77,-0.62,10.80333333,495.24
30,1.32,4.02,190.1074154,2230.52,7.76,1.18,1.17,2,1008.52,101,108.303,83.31,50.3715,33.3,1.31,42.28,60.58,0.76,16.58666667,483.8
35,1.13,3.38,169.8104588,2050.3,27.23,0.98,0.59,2,1014.3,92,9.438,47.19,49.7691,27,1,63.9,78,0.23,20.07666667,443.61
27,1.09,4.22,180.7445857,2214.18,27.36,1,1.84,4,1003.18,102,32.958,54.93,50.1632,28.5,1.13,48.6,55.5,-0.31,19.12,436.06
24,1.15,4.62,163.4143999,2281.97,27.47,0.98,1.99,5,1009.97,109,59.696,74.62,50.0768,32.2,1.47,70.72,85.22,0.32,20.15666667,443.25
32,0.87,4.03,193.3768303,2239.11,14.6,1.22,1.03,2,1011.11,93,87.024,72.52,50.358,28,1.1,39.31,53.71,0.24,16.86666667,464.16
38,1.2,2.8,191.308777,2161.57,7.91,1.23,0.49,1,1023.57,98,53.064,88.44,49.9201,24.6,0.8,39.96,49.26,-0.35,11.63666667,475.52
26,0.65,4.51,189.7052657,2335.14,5.81,1.01,2.03,3,1012.14,99,203.016,92.28,49.9926,28.6,0.69,35.79,42.29,-0.49,12.93666667,484.41
23,0.95,5.17,172.1740263,2304.69,30.53,1.23,6.03,4,1012.69,106,41.85,41.85,50.03,33.3,1.52,65.18,72.68,-0.42,21.17666667,437.89
32,1.28,3.42,175.4488475,2161.02,23.87,1.01,0.81,3,1019.02,99,26.568,44.28,49.9617,27.8,0.88,63.94,70.04,-0.43,16.95666667,445.11
20,0.8,4.93,171.115702,2286.64,26.09,0.99,11.73,5,1013.64,102,45.206,64.58,50.299,29.5,1.94,58.41,80.21,0.79,20.69666667,438.86
30,0.86,4.19,167.4215827,2310.11,29.27,1.19,1.41,3,1011.11,105,37.95,63.25,49.8576,32.7,1.19,66.85,76.75,0.06,19.75666667,440.98
29,1.44,3.93,172.4353166,2231.08,27.38,1.05,1.05,3,1010.08,102,70.749,78.61,50.3399,32,1.05,74.16,86.16,0.24,19.12666667,436.65
25,1.22,4.51,172.4013489,2321.76,24.81,1.01,1.69,4,1018.76,111,40.059,44.51,50.0739,33.6,1.11,63.94,68.24,-0.58,16.27,444.26
29,0.8,3.99,188.1025294,2241.29,12.75,0.98,0.98,3,1007.29,95,98.406,89.46,49.9233,28.4,0.86,44.03,52.03,-0.3,14.25,465.86
36,1.21,2.25,174.2573911,2015.4,24.66,0.98,0.29,2,1011.4,93,37.26,74.52,50.0136,22.2,0.79,63.73,83.13,0.49,19.22,444.37
26,1.27,4.3,177.9153774,2221.08,16.38,0.88,1.4,4,1010.08,106,53.316,88.86,50.049,30.9,1.07,47.45,53.85,-0.43,15.46,450.69
31,0.77,3.71,197.655211,2252.69,13.91,1.29,0.98,3,1014.69,94,90.612,75.51,49.9776,29,1,39.35,52.85,0.17,14.63666667,469.02
37,2.52,2.91,186.080059,2025.04,23.18,0.87,0.39,2,1012.04,98,31.456,78.64,49.9878,27.9,0.7,51.3,56.3,-0.66,15.72666667,448.86
30,1.45,3.84,187.1577346,2243.62,22.47,0.93,1.06,4,1007.62,95,61.32,76.65,50.154,29.9,1.14,47.45,53.55,-0.42,16.49,447.14
30,0.98,4.27,187.876977,2216.24,13.39,1.39,1.47,2,1017.24,100,48.264,80.44,49.9513,31.1,1.13,44.85,52.05,-0.35,13.46333333,469.18
25,0.89,5.04,191.2545376,2291.33,9.28,1.16,3.51,4,1018.33,103,159.78,79.89,49.8541,35,1.69,41.54,50.54,-0.34,13.09333333,482.8
31,1.28,3.92,186.2887645,2202.12,11.82,1.03,1.06,3,1014.12,101,26.484,88.28,49.978,28.4,0.82,42.86,47.76,-0.59,10.94,476.7
32,1.41,3.7,192.0942239,2181.63,10.27,1,0.82,3,1020.63,98,50.76,84.6,50.0089,28,0.88,40.64,45.84,-0.51,12.42333333,474.99
38,1.41,3.12,173.2720628,2123.28,22.92,1.04,0.49,2,1019.28,100,17.076,42.69,49.6848,30.3,0.93,63.94,72.14,-0.3,17.64,444.22
28,1.19,4.37,189.5077634,2212.24,16,1.05,1.32,3,1020.24,98,39.205,78.41,50.083,29.7,1.29,37.87,45.37,-0.31,14.33333333,461.33
33,1.22,2.97,185.3268124,2168.96,21.22,1.1,0.55,2,1010.96,100,36.642,61.07,49.8079,28.3,0.65,43.43,47.33,-0.71,16.07333333,448.06
